vardas		pavarde		nd1	nd2	nd3	nd4	nd5	nd6	nd7	nd8	nd9	nd10	nd11	nd12	nd13	nd14	nd15	nd16	nd17	nd18	nd19	nd20	egzaminas	galutinis balas
vardas243		pavarde243		9	4	8	9	9	7	7	1	4	3	2	4	7	8	8	10	3	10	3	7	3		4.26
vardas244		pavarde244		1	2	3	5	4	10	9	5	6	6	8	4	1	1	2	10	9	10	5	10	1		2.82
vardas245		pavarde245		10	10	6	2	5	5	4	5	5	9	9	8	7	8	8	8	1	9	2	9	8		7.4
vardas246		pavarde246		10	2	8	7	9	8	5	8	4	3	4	4	5	9	5	4	7	7	3	1	9		7.66
vardas247		pavarde247		3	1	5	5	1	10	3	1	4	9	8	2	2	1	4	7	3	6	10	4	6		5.38
vardas248		pavarde248		2	9	10	4	4	8	8	3	5	9	10	3	8	2	5	9	5	3	3	2	5		5.24
vardas249		pavarde249		3	4	5	5	2	9	8	8	4	7	4	1	8	6	7	5	7	2	6	3	9		7.48
vardas250		pavarde250		3	9	4	4	1	6	8	1	7	3	5	5	9	1	1	10	9	2	7	5	10		8
vardas251		pavarde251		6	9	7	3	1	6	3	2	2	10	4	7	5	9	6	3	6	9	7	9	2		3.48
vardas252		pavarde252		5	4	10	9	3	1	8	8	5	6	6	2	2	3	7	7	7	2	5	1	10		8.02
vardas253		pavarde253		6	9	3	1	6	7	5	5	2	1	5	1	1	7	9	4	7	6	9	8	4		4.44
vardas254		pavarde254		6	1	7	6	3	5	3	8	10	6	3	3	8	5	1	4	6	2	3	4	10		7.88
vardas255		pavarde255		5	8	6	2	7	9	1	3	1	8	6	5	5	9	8	7	7	5	5	3	6		5.8
vardas256		pavarde256		7	1	10	6	2	10	8	10	3	10	6	6	4	1	6	9	10	9	1	8	7		6.74
vardas257		pavarde257		8	7	6	2	5	9	5	6	9	2	4	4	9	6	1	2	4	7	8	8	3		4.04
vardas258		pavarde258		6	10	4	4	2	3	10	1	9	1	1	8	8	4	8	5	1	8	4	6	5		5.06
vardas259		pavarde259		6	9	4	4	6	3	6	2	5	10	7	10	3	5	5	7	3	2	3	6	10		8.12
vardas260		pavarde260		2	4	8	4	3	3	5	7	3	8	2	1	2	9	4	1	10	8	7	8	5		4.98
vardas261		pavarde261		7	2	8	2	1	3	8	3	4	1	8	6	5	4	8	4	5	9	7	1	5		4.92
vardas262		pavarde262		1	3	8	3	9	2	6	2	8	5	2	1	1	9	5	4	4	7	1	8	8		6.58
vardas263		pavarde263		5	2	5	6	1	6	1	5	10	6	10	10	1	8	7	4	4	3	4	10	6		5.76
vardas264		pavarde264		3	3	7	4	10	8	5	3	3	1	3	2	8	3	5	2	6	4	1	2	2		2.86
vardas265		pavarde265		6	6	5	4	10	4	6	7	9	5	4	4	8	2	8	10	6	7	7	4	6		6.04
vardas266		pavarde266		10	8	3	5	1	4	4	5	7	5	6	9	9	2	5	8	3	6	5	10	10		8.3
vardas267		pavarde267		6	3	4	5	2	6	4	5	6	10	2	9	2	8	10	10	9	1	8	5	7		6.5
vardas268		pavarde268		3	4	7	4	10	1	7	10	2	10	5	3	2	3	6	3	7	8	5	10	8		7
vardas269		pavarde269		1	4	1	8	8	4	2	1	7	1	2	7	7	6	3	1	1	7	8	9	1		2.36
vardas270		pavarde270		2	9	8	6	1	7	5	1	6	7	6	6	10	6	8	10	5	6	9	9	7		6.74
vardas271		pavarde271		4	6	8	9	4	2	1	8	3	4	9	4	1	10	7	5	1	4	5	6	5		5.02
vardas272		pavarde272		3	1	10	1	4	5	1	4	2	1	1	1	5	10	3	3	4	1	2	3	2		2.5
vardas273		pavarde273		5	7	2	5	1	1	4	9	2	3	3	9	10	4	10	9	8	3	4	8	9		7.54
vardas274		pavarde274		4	9	10	6	4	9	4	1	9	8	7	1	3	8	2	9	6	5	10	6	5		5.42
vardas275		pavarde275		1	9	4	5	10	3	9	10	10	6	1	10	10	9	5	9	2	2	3	7	3		4.3
vardas276		pavarde276		3	9	3	10	6	4	5	3	10	5	3	7	1	9	10	8	9	10	9	10	7		6.88
vardas277		pavarde277		6	4	6	4	8	8	4	6	10	3	2	6	1	7	6	4	2	1	4	2	5		4.88
vardas278		pavarde278		8	5	3	3	7	6	6	6	4	8	2	8	6	7	5	7	3	4	1	5	8		6.88
vardas279		pavarde279		4	6	8	1	2	8	9	1	5	4	3	5	5	8	9	7	4	4	8	2	7		6.26
vardas280		pavarde280		4	3	9	5	10	1	8	5	9	5	3	10	1	8	5	8	2	9	10	4	1		2.98
vardas281		pavarde281		4	4	8	3	9	5	9	10	4	5	4	9	5	3	10	5	1	2	7	1	4		4.56
vardas282		pavarde282		9	8	6	10	2	10	4	4	10	8	2	5	6	7	10	5	2	5	8	1	7		6.64
vardas283		pavarde283		2	5	10	10	4	1	7	10	4	1	10	8	3	3	5	1	2	6	7	6	10		8.1
vardas284		pavarde284		3	5	3	4	7	2	2	9	2	4	2	3	7	7	8	1	2	4	10	10	4		4.3
vardas285		pavarde285		9	8	5	7	5	5	2	4	4	5	7	7	10	6	4	5	10	8	6	3	8		7.2
vardas286		pavarde286		4	4	4	4	6	9	7	3	10	10	7	5	2	9	2	7	9	6	2	8	2		3.56
vardas287		pavarde287		8	4	9	7	10	1	2	1	1	5	2	10	3	6	9	3	8	6	8	2	5		5.1
vardas288		pavarde288		1	5	10	2	8	8	5	9	7	2	7	6	1	8	7	3	6	5	3	8	6		5.82
vardas289		pavarde289		10	3	3	6	9	3	1	10	3	10	3	9	1	10	1	10	10	8	5	6	2		3.62
vardas290		pavarde290		2	2	9	4	4	4	6	8	2	2	3	10	8	10	2	5	6	3	7	7	5		5.08
vardas291		pavarde291		2	10	1	1	8	4	2	7	3	8	1	7	3	2	8	4	2	10	7	2	7		6.04
vardas292		pavarde292		10	3	7	4	8	4	6	10	6	3	1	2	5	6	6	3	1	10	4	7	1		2.72
vardas293		pavarde293		7	4	8	5	10	9	1	10	5	9	1	7	8	10	9	9	2	2	5	10	5		5.62
vardas294		pavarde294		1	8	5	2	6	7	3	8	3	9	1	3	10	8	2	1	8	7	4	6	4		4.44
vardas295		pavarde295		3	10	8	7	9	6	6	5	1	7	1	9	1	10	5	2	10	1	4	5	1		2.8
vardas296		pavarde296		4	1	5	7	4	1	3	1	8	10	5	4	6	7	2	3	4	5	10	8	9		7.36
vardas297		pavarde297		1	6	10	7	2	8	2	10	5	8	8	2	5	7	8	4	6	5	3	9	7		6.52
vardas298		pavarde298		2	3	1	1	9	8	7	6	6	1	3	7	2	7	10	1	8	9	3	5	5		4.98
vardas299		pavarde299		3	6	8	8	8	3	4	3	8	9	2	3	10	5	1	3	1	4	2	2	1		2.46
vardas300		pavarde300		8	4	7	3	4	9	8	3	1	1	4	6	2	7	1	3	9	4	1	8	8		6.66
vardas301		pavarde301		4	9	8	5	5	10	8	1	4	10	6	8	7	5	4	5	10	2	5	9	1		3.1
vardas302		pavarde302		9	8	6	9	4	6	5	7	6	1	5	9	1	10	1	8	10	8	10	3	4		4.92
vardas303		pavarde303		7	10	3	5	5	4	6	9	2	10	4	6	4	8	7	10	5	9	4	4	5		5.44
vardas304		pavarde304		8	6	8	6	10	2	5	4	1	6	3	3	1	7	3	8	10	5	7	3	9		7.52
vardas305		pavarde305		2	5	2	5	10	6	7	1	1	4	1	2	3	8	1	5	7	10	5	1	10		7.72
vardas306		pavarde306		10	9	3	2	8	3	9	2	2	9	1	9	5	7	5	1	3	9	4	7	10		8.16
vardas307		pavarde307		1	7	10	10	5	2	1	1	9	1	7	6	8	8	1	8	4	6	4	9	10		8.16
vardas308		pavarde308		1	10	10	7	8	5	1	4	9	3	2	10	6	3	7	3	2	1	4	7	7		6.26
vardas309		pavarde309		10	2	5	9	2	6	10	4	7	7	9	10	2	5	9	3	4	2	2	6	10		8.28
vardas310		pavarde310		7	2	8	2	10	9	8	4	1	8	2	10	4	1	9	9	3	2	8	9	3		4.12
vardas311		pavarde311		7	6	2	5	8	5	10	8	5	7	9	2	6	8	7	8	10	1	1	7	9		7.84
vardas312		pavarde312		1	8	5	10	9	6	8	9	8	4	5	6	3	4	10	8	6	7	2	9	5		5.56
vardas313		pavarde313		4	7	9	10	2	9	9	7	9	3	8	2	4	2	10	10	6	1	5	6	7		6.66
vardas314		pavarde314		3	2	9	7	3	6	1	9	2	1	9	1	3	6	4	1	6	3	2	9	5		4.74
vardas315		pavarde315		6	10	6	7	2	2	8	4	7	10	2	1	1	1	3	3	3	1	8	8	5		4.86
vardas316		pavarde316		5	1	10	1	9	5	7	9	5	8	8	7	2	7	1	8	4	1	5	6	3		3.98
vardas317		pavarde317		3	10	3	3	3	5	3	4	4	7	10	9	4	7	7	5	1	4	7	9	5		5.16
vardas318		pavarde318		3	4	1	6	5	4	6	9	3	9	9	7	7	5	6	1	5	3	5	9	1		2.74
vardas319		pavarde319		5	6	2	6	1	7	2	6	5	1	6	6	4	6	5	1	5	4	6	4	2		2.96
vardas320		pavarde320		7	8	1	9	6	5	6	4	1	4	6	5	3	2	2	9	10	1	3	1	4		4.26
vardas321		pavarde321		8	8	5	8	10	6	7	1	6	7	5	2	1	3	2	2	6	7	4	6	5		5.08
vardas322		pavarde322		2	2	4	3	4	9	1	3	2	5	1	1	10	7	7	10	4	1	3	5	9		7.08
vardas323		pavarde323		4	5	10	1	6	7	1	6	10	3	2	2	9	5	1	9	2	2	10	3	1		2.56
vardas324		pavarde324		10	3	5	9	2	8	6	3	2	4	5	9	10	7	5	7	2	4	7	5	8		7.06
vardas325		pavarde325		4	8	3	8	8	5	10	3	10	9	1	3	9	1	8	9	1	10	7	6	1		3.06
vardas326		pavarde326		10	6	1	9	9	2	8	10	9	10	1	6	1	7	1	7	7	3	1	5	10		8.26
vardas327		pavarde327		1	1	7	1	1	10	7	8	8	5	4	7	3	10	9	10	10	8	4	2	8		7.12
vardas328		pavarde328		9	1	8	8	9	8	2	7	8	9	10	4	7	2	9	3	3	3	10	3	4		4.86
vardas329		pavarde329		3	3	10	1	2	10	1	6	6	9	3	9	9	2	4	2	9	9	7	8	4		4.66
vardas330		pavarde330		8	10	9	1	6	6	8	3	5	7	10	2	5	4	5	3	8	7	10	5	1		3.04
vardas331		pavarde331		7	2	1	3	8	9	6	5	1	3	1	2	6	3	2	3	8	6	8	8	2		3.04
vardas332		pavarde332		3	9	5	1	6	1	7	7	7	9	9	8	9	3	3	4	8	8	3	4	9		7.68
vardas333		pavarde333		6	3	5	7	7	2	1	8	10	2	3	5	9	5	4	10	2	6	6	8	1		2.78
vardas334		pavarde334		9	10	4	7	4	6	4	3	6	3	6	9	9	8	10	2	5	4	7	7	3		4.26
vardas335		pavarde335		8	3	8	5	6	10	10	4	7	9	6	4	7	9	10	7	3	3	7	1	7		6.74
vardas336		pavarde336		5	10	7	9	10	8	5	7	7	8	1	3	7	4	3	4	8	10	8	6	7		6.8
vardas337		pavarde337		10	8	9	9	5	4	4	5	7	10	5	8	4	7	2	10	8	5	5	6	3		4.42
vardas338		pavarde338		9	1	5	4	8	4	1	2	4	1	8	7	9	1	7	8	4	5	9	8	5		5.1
vardas339		pavarde339		6	4	7	8	6	9	7	10	3	2	9	5	9	4	6	8	2	8	2	2	9		7.74
vardas340		pavarde340		9	3	1	2	5	1	2	9	2	6	6	6	2	8	2	10	2	6	8	5	8		6.7
vardas341		pavarde341		2	6	5	1	8	7	3	8	3	1	1	5	1	5	6	1	5	3	10	4	1		2.3
vardas342		pavarde342		10	10	4	2	8	1	9	4	1	6	3	10	6	6	5	3	6	8	5	6	3		4.06
vardas343		pavarde343		4	1	1	5	5	9	4	4	4	10	8	4	3	5	6	7	9	5	10	5	1		2.78
vardas344		pavarde344		10	9	3	10	7	1	9	6	3	10	10	6	4	9	2	2	8	7	9	10	8		7.5
vardas345		pavarde345		10	9	3	5	4	8	8	2	9	4	3	8	7	9	7	4	3	9	6	9	1		3.14
vardas346		pavarde346		4	4	7	4	5	9	9	4	4	5	7	5	9	2	10	8	9	9	10	6	10		8.6
vardas347		pavarde347		1	10	9	8	7	10	3	3	7	5	4	3	5	6	7	8	4	7	4	8	5		5.38
vardas348		pavarde348		1	6	10	1	2	5	8	10	4	3	2	8	3	10	5	8	5	5	5	1	6		5.64
vardas349		pavarde349		10	6	3	2	2	4	3	3	8	6	6	6	6	10	3	1	4	1	1	7	7		6.04
vardas350		pavarde350		6	9	7	2	7	6	7	5	7	4	1	8	1	8	5	1	9	8	2	6	7		6.38
vardas351		pavarde351		6	4	8	2	8	8	9	2	2	6	8	6	8	9	1	1	6	8	7	5	4		4.68
vardas352		pavarde352		2	2	4	9	5	3	4	4	1	5	9	10	9	10	7	8	9	9	7	8	1		3.1
vardas353		pavarde353		8	6	2	3	2	7	4	4	1	8	4	7	1	5	10	8	8	4	10	6	10		8.16
vardas354		pavarde354		5	8	6	10	1	6	10	2	3	3	1	6	10	1	7	8	1	10	5	10	2		3.46
vardas355		pavarde355		6	7	2	1	1	8	8	9	9	6	5	6	2	9	2	8	3	10	8	8	6		5.96
vardas356		pavarde356		3	2	3	9	1	3	3	6	9	2	4	10	8	3	7	1	3	8	1	5	7		6.02
vardas357		pavarde357		8	7	3	5	3	5	6	3	8	9	10	8	3	6	5	5	1	1	7	8	7		6.42
vardas358		pavarde358		1	10	5	1	3	9	5	1	5	2	5	7	3	10	4	5	6	9	5	6	3		3.84
vardas359		pavarde359		2	6	4	6	4	2	2	7	1	4	1	9	9	5	2	8	6	3	10	3	1		2.48
vardas360		pavarde360		2	7	9	1	2	8	3	10	8	6	1	6	2	7	9	3	4	8	1	1	9		7.36
vardas361		pavarde361		5	9	9	5	5	9	10	7	3	8	6	9	1	3	9	9	9	10	8	8	1		3.44
vardas362		pavarde362		8	4	5	3	8	9	4	10	5	4	4	2	10	5	1	8	2	9	5	7	3		4.06
vardas363		pavarde363		10	6	7	2	9	6	3	2	6	4	3	1	7	6	1	7	5	2	6	10	1		2.66
vardas364		pavarde364		9	1	2	7	10	10	2	4	5	1	10	9	8	3	5	9	2	1	3	5	1		2.72
vardas365		pavarde365		1	1	6	4	4	5	8	5	7	3	4	10	2	9	7	1	9	2	3	9	8		6.8
vardas366		pavarde366		5	5	2	10	7	9	6	9	7	6	8	5	3	7	7	4	1	5	1	7	3		4.08
vardas367		pavarde367		1	4	1	4	6	3	1	10	5	5	5	5	2	4	4	2	9	8	4	5	4		4.16
vardas368		pavarde368		7	3	6	10	5	4	4	6	7	4	7	10	3	4	7	2	1	5	7	8	4		4.6
vardas369		pavarde369		10	9	5	2	10	2	5	6	9	10	1	8	3	6	1	3	6	8	2	10	7		6.52
vardas370		pavarde370		4	8	2	10	1	9	1	4	10	2	7	7	1	7	5	3	6	2	4	10	8		6.86
vardas371		pavarde371		6	4	4	3	1	3	8	7	9	3	10	10	3	7	8	5	9	6	2	5	4		4.66
vardas372		pavarde372		5	7	5	6	4	7	10	1	5	1	8	9	2	1	6	2	10	9	10	4	3		4.04
vardas373		pavarde373		6	9	10	10	3	4	10	10	7	4	8	9	6	4	6	6	9	6	8	2	1		3.34
vardas374		pavarde374		5	1	1	2	6	8	1	4	7	5	3	6	10	1	5	2	1	3	3	9	4		4.06
vardas375		pavarde375		7	9	3	8	6	8	5	10	4	10	2	8	4	9	1	3	6	7	3	5	1		2.96
vardas376		pavarde376		9	9	10	6	4	7	3	5	1	7	8	7	10	10	5	2	10	2	8	1	7		6.68
vardas377		pavarde377		8	5	3	3	10	1	2	2	10	6	10	3	2	2	1	6	6	6	2	3	1		2.42
vardas378		pavarde378		6	4	8	6	1	7	5	9	1	1	8	1	4	9	1	4	7	6	10	9	5		5.14
vardas379		pavarde379		6	2	3	4	5	10	9	8	9	5	5	9	2	1	3	5	4	9	10	5	8		7.08
vardas380		pavarde380		8	9	6	1	5	8	8	10	2	2	8	1	9	1	8	5	5	4	1	1	3		3.84
vardas381		pavarde381		3	1	9	10	7	4	10	8	4	2	8	6	6	3	9	5	6	8	9	10	8		7.36
vardas382		pavarde382		2	2	8	2	8	4	9	4	9	4	5	6	6	3	1	4	8	8	2	5	4		4.4
vardas383		pavarde383		8	2	4	3	1	10	5	8	5	2	9	1	2	9	1	1	6	7	6	10	3		3.8
vardas384		pavarde384		4	10	5	10	3	5	8	4	5	6	6	1	6	9	2	3	9	7	2	5	7		6.4
vardas385		pavarde385		8	3	1	7	1	1	4	3	2	1	10	1	8	4	1	9	7	9	6	5	8		6.62
vardas386		pavarde386		3	10	4	4	5	4	3	5	1	6	10	5	1	6	5	5	1	6	6	2	8		6.64
vardas387		pavarde387		3	7	4	1	4	5	3	10	6	5	2	5	7	2	9	6	5	5	3	7	9		7.38
vardas388		pavarde388		6	3	9	5	2	3	1	8	3	5	1	4	10	1	8	8	1	2	5	8	4		4.26
vardas389		pavarde389		10	6	6	8	3	8	10	8	10	4	6	8	4	10	6	9	8	1	7	9	9		8.22
vardas390		pavarde390		4	5	8	2	9	4	5	7	9	4	3	2	7	5	10	8	4	8	8	6	2		3.56
vardas391		pavarde391		10	5	4	8	5	9	3	6	10	2	10	1	7	6	7	1	3	9	3	7	3		4.12
vardas392		pavarde392		7	9	4	3	1	5	10	5	10	3	6	7	4	4	3	8	2	4	3	3	1		2.62
vardas393		pavarde393		4	4	1	1	4	9	9	5	10	7	4	5	10	10	1	5	2	10	4	1	6		5.72
vardas394		pavarde394		3	5	6	8	10	8	10	9	6	1	1	5	2	10	10	7	2	7	3	2	3		4.1
vardas395		pavarde395		2	6	9	8	10	5	2	7	8	1	1	2	9	2	7	9	6	7	5	10	5		5.32
vardas396		pavarde396		6	7	6	1	1	3	7	7	9	1	4	3	10	8	4	9	4	7	3	7	10		8.14
vardas397		pavarde397		2	4	9	8	4	7	1	1	7	7	10	3	4	4	6	3	6	2	9	4	6		5.62
vardas398		pavarde398		5	9	3	4	1	7	7	8	9	8	8	6	5	4	6	4	9	3	5	10	10		8.42
vardas399		pavarde399		8	7	10	2	10	4	4	4	10	1	6	5	3	9	10	2	1	1	8	3	4		4.56
vardas400		pavarde400		4	10	6	9	8	9	10	1	5	10	9	3	6	2	4	6	4	4	3	1	6		5.88
vardas401		pavarde401		5	8	1	4	6	10	8	10	1	5	9	6	1	6	4	7	4	6	6	8	5		5.3
vardas402		pavarde402		6	7	8	7	1	1	5	4	3	6	5	4	2	8	2	2	7	10	5	10	3		3.86
vardas403		pavarde403		7	5	8	6	2	6	3	4	6	8	1	9	3	1	8	3	3	8	8	4	3		3.86
vardas404		pavarde404		2	5	6	7	3	7	2	10	6	10	1	2	5	6	7	4	3	9	10	4	9		7.58
vardas405		pavarde405		3	8	9	5	4	8	5	2	3	5	9	3	7	3	7	3	5	4	9	10	6		5.84
vardas406		pavarde406		5	4	10	2	1	5	4	10	10	4	5	9	9	10	4	8	2	5	4	10	3		4.22
vardas407		pavarde407		8	5	1	5	9	1	8	8	5	4	3	3	3	10	9	2	7	2	1	6	2		3.2
vardas408		pavarde408		9	4	8	6	10	4	3	9	2	3	6	1	9	6	3	3	7	10	7	3	2		3.46
vardas409		pavarde409		5	4	6	2	4	9	9	9	5	4	3	2	6	7	2	1	3	3	9	9	8		6.84
vardas410		pavarde410		7	8	5	9	8	8	8	1	4	2	5	4	6	4	1	1	7	1	3	4	10		7.92
vardas411		pavarde411		4	7	9	1	9	6	3	1	7	3	2	9	7	2	5	5	5	1	5	8	8		6.78
vardas412		pavarde412		8	4	5	8	8	3	2	4	9	3	9	6	2	2	3	10	4	8	2	5	1		2.7
vardas413		pavarde413		10	2	1	2	2	5	10	10	7	3	10	9	10	1	4	2	1	3	10	3	3		3.9
vardas414		pavarde414		9	3	1	4	2	9	5	9	6	10	10	7	5	8	6	6	9	9	3	1	7		6.64
vardas415		pavarde415		4	6	8	8	4	5	2	9	3	6	5	6	10	2	7	4	2	3	6	1	4		4.42
vardas416		pavarde416		7	6	9	7	4	1	5	9	6	6	9	6	10	9	6	2	7	10	8	1	4		4.96
vardas417		pavarde417		4	4	1	10	4	4	8	8	3	6	7	6	6	1	9	4	2	3	9	8	7		6.34
vardas418		pavarde418		3	7	6	3	8	8	10	6	8	1	5	8	2	7	7	2	2	6	10	9	10		8.36
vardas419		pavarde419		2	4	2	6	9	1	6	1	10	4	7	7	9	4	9	10	10	8	2	5	10		8.32
vardas420		pavarde420		1	2	6	6	6	7	1	6	9	3	8	3	1	10	5	1	10	2	8	6	7		6.22
vardas421		pavarde421		6	3	2	2	5	10	6	1	9	2	5	8	10	4	3	9	4	1	10	9	7		6.38
vardas422		pavarde422		8	7	1	2	2	1	6	6	4	8	7	9	5	1	5	1	6	5	9	2	8		6.7
vardas423		pavarde423		10	7	10	8	2	7	7	3	2	4	9	7	6	2	9	7	3	1	9	5	1		2.96
vardas424		pavarde424		9	7	5	5	1	8	7	3	6	4	3	7	4	10	8	8	6	6	4	10	1		3.02
vardas425		pavarde425		7	6	9	3	8	5	4	10	2	9	5	1	3	5	1	10	4	3	7	2	10		8.08
vardas426		pavarde426		3	3	2	4	2	2	4	6	8	4	3	8	5	9	1	9	1	10	1	4	1		2.38
vardas427		pavarde427		2	2	3	2	7	6	5	4	7	6	5	8	8	1	2	5	10	6	1	8	9		7.36
vardas428		pavarde428		6	8	1	9	9	6	6	8	9	4	4	7	8	4	8	4	2	5	1	3	2		3.44
vardas429		pavarde429		1	4	6	3	9	5	10	7	6	7	3	1	10	2	3	7	10	6	6	5	6		5.82
vardas430		pavarde430		5	1	10	6	1	6	6	9	10	2	8	8	9	9	3	8	3	10	6	5	1		3.1
vardas431		pavarde431		8	9	3	5	4	1	10	4	8	8	8	8	3	5	1	4	4	5	7	8	5		5.26
vardas432		pavarde432		3	2	10	3	10	2	2	5	9	9	6	7	7	3	9	7	4	3	2	4	10		8.14
vardas433		pavarde433		1	5	7	10	10	2	10	6	4	7	8	3	1	7	1	1	6	8	7	7	10		8.22
vardas434		pavarde434		10	7	3	7	7	9	3	9	5	3	6	4	1	5	5	4	10	4	7	1	1		2.8
vardas435		pavarde435		2	1	8	8	7	4	10	3	3	9	3	7	8	9	7	4	4	3	3	8	8		7.02
vardas436		pavarde436		8	7	1	4	10	2	6	4	8	9	1	2	8	7	1	1	9	6	9	3	6		5.72
vardas437		pavarde437		1	7	3	9	7	2	10	6	2	4	5	6	5	4	2	1	5	6	9	4	2		3.16
vardas438		pavarde438		1	3	4	10	6	9	10	6	4	6	8	5	5	5	8	1	7	2	10	10	2		3.6
vardas439		pavarde439		1	10	5	8	5	6	8	7	7	3	5	2	2	4	4	1	8	2	7	5	5		5
vardas440		pavarde440		3	1	10	9	6	2	1	1	7	10	2	10	8	6	10	1	4	2	10	4	5		5.14
vardas441		pavarde441		4	9	5	8	2	5	10	4	1	6	4	1	9	5	3	2	8	3	8	8	7		6.3
vardas442		pavarde442		7	4	10	10	7	2	6	2	9	9	7	2	9	3	5	10	8	10	8	8	10		8.72
vardas443		pavarde443		3	5	5	1	6	7	1	8	7	9	4	5	2	4	7	6	5	6	5	1	1		2.54
vardas444		pavarde444		9	6	7	10	6	9	3	10	9	1	1	2	7	2	9	9	5	4	10	9	6		6.16
vardas445		pavarde445		6	4	3	4	8	10	1	1	1	9	9	4	9	9	4	1	9	3	9	3	8		6.94
vardas446		pavarde446		8	4	6	10	10	8	6	10	7	8	4	2	6	8	9	5	9	8	6	2	2		3.92
vardas447		pavarde447		10	4	6	3	5	5	9	2	5	5	4	1	9	9	5	7	5	7	6	10	2		3.54
vardas448		pavarde448		9	5	8	10	6	10	1	2	8	4	2	7	8	3	9	9	4	4	7	9	9		7.9
vardas449		pavarde449		9	4	1	5	10	5	9	7	5	10	10	9	4	5	8	7	5	3	1	5	7		6.64
vardas450		pavarde450		2	9	1	2	7	9	9	7	6	1	4	1	3	4	4	9	10	7	1	3	4		4.38
vardas451		pavarde451		5	2	10	3	6	9	3	1	4	5	1	3	1	6	2	2	9	5	10	7	10		7.88
vardas452		pavarde452		8	8	1	3	6	1	1	9	3	2	10	5	5	9	9	4	2	8	1	1	8		6.72
vardas453		pavarde453		7	4	9	7	9	10	7	5	8	8	2	1	10	9	8	7	1	8	3	5	10		8.56
vardas454		pavarde454		9	2	5	6	6	4	7	4	10	9	9	6	7	5	9	2	1	7	6	4	8		7.16
vardas455		pavarde455		2	7	3	4	6	8	9	9	10	9	8	7	10	2	10	5	3	10	8	10	8		7.6
vardas456		pavarde456		7	6	5	3	6	3	6	7	5	10	7	10	9	2	1	10	6	10	5	10	9		7.96
vardas457		pavarde457		6	9	7	2	8	10	8	7	4	5	5	10	5	6	10	9	1	9	5	6	4		5.04
vardas458		pavarde458		5	5	3	4	1	2	9	3	7	4	4	9	6	7	7	6	3	5	4	9	5		5.06
vardas459		pavarde459		9	3	9	7	8	1	4	6	10	8	5	2	4	10	9	10	3	2	4	9	2		3.66
vardas460		pavarde460		2	4	10	8	5	5	5	7	8	7	3	7	10	7	4	8	10	5	3	6	1		3.08
vardas461		pavarde461		5	10	10	9	3	4	5	5	3	10	5	8	3	9	9	10	3	4	2	5	8		7.24
vardas462		pavarde462		8	9	1	5	8	1	9	5	7	9	8	5	3	7	7	7	4	10	5	10	5		5.56
vardas463		pavarde463		4	3	5	9	2	7	8	9	7	8	2	4	8	7	2	8	1	7	3	9	1		2.86
vardas464		pavarde464		5	5	2	8	7	9	4	7	7	7	3	4	9	9	1	9	6	7	2	9	7		6.6
vardas465		pavarde465		2	10	1	9	9	3	7	1	4	3	8	7	8	4	9	5	4	2	6	6	5		5.16
vardas466		pavarde466		4	3	5	5	8	2	9	1	6	8	2	8	3	8	2	4	7	7	5	4	9		7.42
vardas467		pavarde467		1	10	5	5	7	10	8	8	10	7	6	9	5	7	4	8	7	1	1	7	2		3.72
vardas468		pavarde468		9	7	6	1	2	9	10	4	10	9	3	10	5	7	8	5	9	4	4	4	8		7.32
vardas469		pavarde469		5	2	6	6	5	1	3	1	1	7	7	9	6	7	8	6	9	1	3	1	1		2.48
vardas470		pavarde470		8	10	10	7	3	8	2	2	3	2	2	4	3	10	2	6	9	3	4	9	1		2.74
vardas471		pavarde471		10	4	9	3	8	8	8	9	1	2	6	2	7	3	1	2	2	6	4	2	4		4.34
vardas472		pavarde472		4	4	7	6	9	4	5	5	5	10	7	4	3	9	9	9	4	10	4	7	5		5.5
vardas473		pavarde473		5	7	2	7	6	6	7	6	6	3	4	10	1	3	3	8	1	10	6	8	10		8.18
vardas474		pavarde474		1	3	5	3	8	9	2	8	5	2	6	7	9	5	2	1	6	5	2	7	6		5.52
vardas475		pavarde475		3	5	9	10	10	3	6	6	1	1	10	6	1	9	1	5	3	4	9	10	2		3.44
vardas476		pavarde476		7	4	8	1	6	1	4	9	9	7	10	6	6	2	9	1	8	4	5	6	5		5.26
vardas477		pavarde477		1	8	4	10	1	2	10	8	8	8	4	1	8	9	5	7	9	4	7	4	4		4.76
vardas478		pavarde478		1	7	7	5	6	4	5	4	2	3	5	4	10	10	4	1	2	3	10	6	8		6.78
vardas479		pavarde479		5	6	9	8	9	5	3	8	8	5	3	6	3	1	2	5	2	3	6	4	10		8.02
vardas480		pavarde480		3	3	8	5	10	1	4	8	2	5	6	8	3	2	4	9	8	3	10	2	8		6.88
vardas481		pavarde481		4	7	1	5	7	5	10	6	7	2	6	5	5	3	1	3	9	1	7	4	9		7.36
vardas482		pavarde482		9	5	7	6	6	10	9	7	3	4	4	8	6	1	3	5	10	7	10	8	10		8.56
vardas483		pavarde483		4	4	9	5	10	1	7	3	2	6	8	7	7	4	7	6	8	2	1	4	5		5.1
vardas484		pavarde484		2	6	10	8	6	7	8	8	1	2	10	4	1	7	7	3	5	10	6	4	9		7.7
vardas485		pavarde485		7	3	6	1	9	4	3	1	2	1	2	1	4	4	1	1	7	3	3	10	3		3.26
