vardas		pavarde		nd1	nd2	nd3	nd4	nd5	nd6	nd7	nd8	nd9	nd10	nd11	nd12	nd13	nd14	nd15	nd16	nd17	nd18	nd19	nd20	egzaminas	galutinis balas
vardas2132		pavarde2132		7	9	10	1	4	1	7	3	9	2	5	10	10	7	4	7	1	8	10	6	6		6.02
vardas2133		pavarde2133		9	3	8	3	9	6	10	8	4	5	5	2	5	3	8	7	10	9	8	5	8		7.34
vardas2134		pavarde2134		3	9	4	2	1	2	1	3	8	3	2	7	1	4	4	1	10	10	9	5	10		7.78
vardas2135		pavarde2135		1	2	1	2	8	4	6	1	9	3	3	10	3	9	8	9	9	6	7	2	4		4.46
vardas2136		pavarde2136		5	2	9	2	9	2	5	3	5	3	2	8	7	4	6	7	2	9	8	4	7		6.24
vardas2137		pavarde2137		9	1	5	3	6	7	7	9	4	7	2	4	6	6	9	4	10	2	3	9	8		7.06
vardas2138		pavarde2138		4	5	8	2	8	2	5	2	4	8	9	3	1	7	1	1	2	6	9	6	2		3.06
vardas2139		pavarde2139		6	10	6	8	2	6	1	9	5	10	6	6	5	7	1	6	10	10	2	8	2		3.68
vardas2140		pavarde2140		3	7	7	5	2	1	7	9	2	9	2	5	10	4	9	8	7	5	9	3	7		6.48
vardas2141		pavarde2141		1	9	2	3	6	1	3	6	5	7	10	6	1	2	4	2	3	10	3	5	4		4.18
vardas2142		pavarde2142		4	3	6	9	4	6	8	4	4	10	6	7	3	5	5	1	1	9	5	6	7		6.32
vardas2143		pavarde2143		8	4	2	3	8	5	1	7	8	9	9	6	5	7	3	7	1	5	5	6	7		6.38
vardas2144		pavarde2144		2	3	8	1	3	10	9	6	8	7	5	7	7	3	5	10	2	9	5	7	4		4.74
vardas2145		pavarde2145		2	1	2	7	5	2	2	8	7	7	8	5	3	7	7	3	2	3	4	9	4		4.28
vardas2146		pavarde2146		8	6	10	10	5	4	10	6	9	4	6	4	3	2	2	6	8	9	8	1	9		7.82
vardas2147		pavarde2147		8	9	9	1	1	1	1	1	2	4	2	7	7	5	7	10	10	2	2	9	4		4.36
vardas2148		pavarde2148		2	1	3	4	3	3	7	1	8	9	2	4	8	10	4	9	1	9	2	9	6		5.58
vardas2149		pavarde2149		8	7	6	6	8	1	5	1	7	8	1	2	6	10	1	6	3	10	3	7	7		6.32
vardas2150		pavarde2150		2	10	5	7	4	3	8	6	10	3	8	2	10	5	3	7	1	1	3	1	3		3.78
vardas2151		pavarde2151		7	4	8	9	10	10	2	10	6	3	9	5	3	10	4	10	3	2	8	1	10		8.48
vardas2152		pavarde2152		6	4	10	8	1	3	9	9	10	2	10	10	10	6	6	4	7	10	3	2	3		4.4
vardas2153		pavarde2153		1	1	6	4	2	5	5	5	4	5	7	6	6	10	3	2	10	8	3	1	6		5.48
vardas2154		pavarde2154		4	3	7	1	1	10	10	8	8	2	5	9	10	10	4	5	3	4	2	2	7		6.36
vardas2155		pavarde2155		3	7	4	6	7	2	9	4	10	7	3	8	8	7	10	1	8	4	1	10	1		2.98
vardas2156		pavarde2156		2	9	1	4	8	1	3	4	8	7	7	9	5	3	1	7	2	10	5	9	8		6.9
vardas2157		pavarde2157		10	5	3	3	7	3	9	7	3	10	8	5	8	2	7	1	2	4	2	8	6		5.74
vardas2158		pavarde2158		4	8	3	4	2	5	1	5	9	2	6	1	4	8	2	3	7	9	1	9	10		7.86
vardas2159		pavarde2159		6	7	8	2	9	5	7	3	2	2	8	3	7	10	4	4	4	4	4	5	1		2.68
vardas2160		pavarde2160		9	9	6	4	1	7	10	8	7	1	9	3	6	4	10	1	9	7	2	10	5		5.46
vardas2161		pavarde2161		8	8	1	7	6	7	8	5	1	2	8	3	6	8	10	3	5	8	8	1	6		5.86
vardas2162		pavarde2162		8	2	8	5	9	2	1	7	8	6	8	5	9	10	4	2	1	5	1	9	9		7.6
vardas2163		pavarde2163		7	9	2	9	10	6	1	9	5	5	2	2	8	1	2	10	6	10	6	7	9		7.74
vardas2164		pavarde2164		8	3	4	9	3	3	4	9	3	6	6	5	7	3	8	6	8	9	3	10	8		7.14
vardas2165		pavarde2165		1	2	1	5	6	7	2	7	7	3	1	5	5	8	1	4	3	2	7	1	9		6.96
vardas2166		pavarde2166		6	1	9	6	10	10	10	7	7	7	9	6	6	7	9	4	2	5	7	5	1		3.26
vardas2167		pavarde2167		6	5	7	1	8	10	10	1	9	6	5	1	2	4	7	1	7	7	8	2	8		6.94
vardas2168		pavarde2168		2	3	6	10	4	10	9	1	3	6	3	10	6	8	8	1	7	2	1	7	5		5.14
vardas2169		pavarde2169		1	7	6	5	6	8	2	8	3	9	10	6	4	10	9	2	9	10	4	2	10		8.42
vardas2170		pavarde2170		7	10	2	7	7	7	2	4	1	4	5	9	10	5	9	10	3	2	2	7	2		3.46
vardas2171		pavarde2171		9	10	5	3	2	3	7	2	3	8	5	2	6	9	1	6	5	5	1	6	5		4.96
vardas2172		pavarde2172		5	6	5	4	5	5	9	7	2	10	3	3	9	1	1	5	9	6	4	4	9		7.46
vardas2173		pavarde2173		2	6	6	7	10	4	5	9	10	6	3	7	8	2	2	5	10	1	2	2	2		3.34
vardas2174		pavarde2174		6	4	2	8	1	3	5	5	4	4	1	3	9	1	2	5	1	10	5	3	10		7.64
vardas2175		pavarde2175		5	4	3	4	8	2	4	5	1	9	3	8	7	6	1	6	5	9	4	9	9		7.46
vardas2176		pavarde2176		1	1	10	6	7	10	4	3	3	1	3	9	5	3	5	10	5	5	8	5	9		7.48
vardas2177		pavarde2177		8	5	4	6	2	6	6	4	2	3	2	7	9	4	1	2	2	4	5	10	3		3.64
vardas2178		pavarde2178		2	2	5	8	4	8	4	3	8	3	4	6	4	1	8	6	3	3	1	1	9		7.08
vardas2179		pavarde2179		4	6	9	3	6	9	3	2	9	7	10	9	1	4	1	5	8	10	8	10	2		3.68
vardas2180		pavarde2180		10	8	8	5	9	1	2	6	3	2	8	4	8	10	10	3	6	6	7	4	4		4.8
vardas2181		pavarde2181		4	6	1	3	10	4	7	6	3	9	7	6	3	6	10	4	10	2	10	5	9		7.72
vardas2182		pavarde2182		7	5	4	9	8	10	2	10	7	9	6	4	6	2	10	6	2	1	1	6	6		5.9
vardas2183		pavarde2183		9	4	3	2	3	8	10	3	10	7	2	3	4	3	3	4	3	5	10	5	8		6.82
vardas2184		pavarde2184		7	6	8	5	4	10	1	2	5	2	9	9	3	9	3	7	3	8	3	7	8		7.02
vardas2185		pavarde2185		3	5	4	6	7	10	2	6	3	7	5	6	2	9	4	7	5	6	1	6	2		3.28
vardas2186		pavarde2186		2	9	8	9	9	6	2	10	1	10	3	8	6	10	3	6	2	8	5	3	7		6.6
vardas2187		pavarde2187		7	7	7	9	6	9	3	4	10	9	1	3	9	1	1	1	5	3	8	7	5		5.2
vardas2188		pavarde2188		9	8	4	1	6	9	3	1	8	1	4	7	3	8	7	8	1	10	2	6	7		6.32
vardas2189		pavarde2189		7	10	6	9	9	5	10	2	5	9	6	7	4	5	9	2	4	3	4	7	2		3.66
vardas2190		pavarde2190		6	10	6	4	6	6	3	7	2	9	1	7	10	2	10	8	4	6	8	1	7		6.52
vardas2191		pavarde2191		8	10	6	10	6	7	5	10	5	2	7	3	9	9	1	9	10	7	8	5	7		6.94
vardas2192		pavarde2192		1	3	1	2	4	7	8	9	8	4	1	7	2	10	5	7	7	9	7	9	2		3.42
vardas2193		pavarde2193		7	4	3	4	10	10	3	8	3	8	5	10	10	7	10	7	10	2	7	5	8		7.46
vardas2194		pavarde2194		4	7	10	1	6	1	9	2	4	8	7	4	9	6	6	7	10	9	4	2	1		2.92
vardas2195		pavarde2195		5	1	3	3	3	3	5	1	2	8	7	9	10	1	2	1	9	10	7	10	10		8
vardas2196		pavarde2196		2	6	1	10	4	4	9	8	1	6	3	3	1	9	9	8	4	2	9	7	1		2.72
vardas2197		pavarde2197		1	1	3	6	7	9	7	3	4	2	2	9	10	3	1	6	2	10	10	9	6		5.7
vardas2198		pavarde2198		10	2	4	7	1	10	3	7	5	5	2	7	5	9	6	10	10	9	10	6	9		7.96
vardas2199		pavarde2199		3	2	4	9	6	10	3	4	7	9	1	8	8	10	6	9	6	6	10	4	4		4.9
vardas2200		pavarde2200		4	9	4	1	4	4	8	7	2	7	7	8	5	2	4	7	3	1	3	6	7		6.12
vardas2201		pavarde2201		2	10	4	6	8	7	6	4	1	10	9	7	1	5	7	2	6	10	2	7	8		7.08
vardas2202		pavarde2202		5	2	4	1	5	10	1	3	3	10	6	2	2	10	8	1	5	8	7	1	4		4.28
vardas2203		pavarde2203		8	4	8	8	10	2	3	6	1	4	10	3	6	7	10	4	10	5	2	1	5		5.24
vardas2204		pavarde2204		8	1	9	4	1	1	1	2	3	8	3	2	3	10	2	9	10	7	5	7	6		5.52
vardas2205		pavarde2205		6	1	8	5	8	4	7	6	9	6	1	3	3	4	5	7	8	6	4	9	9		7.6
vardas2206		pavarde2206		7	1	5	7	1	3	8	10	5	2	1	9	6	3	6	1	6	1	5	5	2		3.04
vardas2207		pavarde2207		9	1	7	2	4	2	8	7	1	1	9	4	6	7	4	2	9	5	1	1	7		6
vardas2208		pavarde2208		9	5	8	5	10	10	2	6	5	5	2	10	7	3	8	7	2	1	8	9	2		3.64
vardas2209		pavarde2209		9	3	10	4	2	9	1	10	7	10	3	1	4	10	6	4	7	6	2	9	9		7.74
vardas2210		pavarde2210		9	10	7	2	3	10	6	2	7	3	5	4	10	5	2	7	10	4	7	6	10		8.38
vardas2211		pavarde2211		9	5	3	6	7	8	4	7	4	3	1	2	3	6	4	4	7	9	4	9	4		4.5
vardas2212		pavarde2212		7	6	1	7	1	6	7	7	9	3	1	6	8	4	6	8	4	10	9	8	9		7.76
vardas2213		pavarde2213		1	9	3	1	7	8	10	3	6	4	5	6	5	7	3	7	2	10	10	3	5		5.2
vardas2214		pavarde2214		10	7	9	1	4	1	5	2	3	1	1	9	4	6	8	6	2	4	8	2	2		3.06
vardas2215		pavarde2215		3	2	7	4	3	3	4	5	9	7	3	8	3	9	10	1	3	3	9	7	1		2.66
vardas2216		pavarde2216		8	2	4	8	6	4	4	4	7	4	9	8	2	2	1	9	3	9	6	4	7		6.28
vardas2217		pavarde2217		10	7	2	1	1	1	3	6	8	3	3	4	10	2	7	6	4	8	6	1	5		4.86
vardas2218		pavarde2218		2	8	6	9	3	9	7	10	3	1	1	1	2	7	8	9	8	2	4	10	9		7.6
vardas2219		pavarde2219		1	1	6	1	6	9	7	8	9	10	9	10	5	4	8	1	3	3	7	4	10		8.24
vardas2220		pavarde2220		8	8	6	7	5	4	10	8	5	2	4	3	2	1	7	5	2	1	7	5	4		4.4
vardas2221		pavarde2221		2	8	10	8	4	2	3	3	5	6	2	4	4	4	4	1	6	2	4	9	10		7.82
vardas2222		pavarde2222		10	8	4	7	4	3	6	5	7	6	3	6	3	8	6	9	4	6	10	7	8		7.24
vardas2223		pavarde2223		9	9	2	8	9	3	5	9	2	1	9	4	7	5	9	7	10	6	9	2	3		4.3
vardas2224		pavarde2224		10	1	1	5	2	4	3	10	8	8	6	7	9	2	9	2	7	2	8	4	9		7.56
vardas2225		pavarde2225		8	5	9	2	5	10	1	5	10	2	5	8	2	8	7	5	9	10	10	6	7		6.74
vardas2226		pavarde2226		5	8	1	7	2	8	5	7	8	2	8	3	8	2	2	6	10	3	5	2	5		5.04
vardas2227		pavarde2227		3	9	8	2	2	6	3	4	1	9	1	6	10	1	10	9	2	7	9	4	8		6.92
vardas2228		pavarde2228		5	8	3	6	4	2	3	4	9	4	4	1	2	5	10	8	4	7	8	4	9		7.42
vardas2229		pavarde2229		8	1	9	2	4	10	2	2	6	6	7	6	9	6	6	6	5	9	10	5	8		7.18
vardas2230		pavarde2230		7	8	6	4	4	10	1	7	10	2	4	2	7	9	1	1	1	10	3	1	5		4.96
vardas2231		pavarde2231		8	5	1	2	7	1	5	8	5	7	1	3	7	2	3	10	10	2	7	5	3		3.78
vardas2232		pavarde2232		1	4	10	4	9	9	2	9	7	3	6	6	3	1	1	3	1	10	3	2	9		7.28
vardas2233		pavarde2233		2	6	3	10	9	1	8	5	1	8	9	5	4	9	3	5	5	6	7	9	3		4.1
vardas2234		pavarde2234		7	6	9	7	9	8	8	3	2	7	9	5	10	6	4	5	5	8	1	6	6		6.1
vardas2235		pavarde2235		8	1	10	9	4	3	8	2	2	7	5	6	7	3	5	10	7	6	4	10	1		2.94
vardas2236		pavarde2236		9	9	9	10	9	7	7	2	2	2	6	6	6	10	3	2	1	9	10	6	1		3.1
vardas2237		pavarde2237		6	10	8	3	8	2	5	8	10	9	2	7	9	4	4	3	2	6	1	1	9		7.56
vardas2238		pavarde2238		2	9	8	5	2	1	10	3	7	5	3	2	5	3	2	3	5	5	3	10	3		3.66
vardas2239		pavarde2239		8	8	8	10	10	2	4	8	8	3	4	8	10	5	9	9	10	1	1	5	9		8.02
vardas2240		pavarde2240		9	10	8	8	5	2	2	7	9	10	6	8	2	7	3	8	7	9	8	4	1		3.24
vardas2241		pavarde2241		7	9	1	10	1	4	5	3	8	7	6	10	7	8	1	4	2	1	2	4	4		4.4
vardas2242		pavarde2242		2	2	2	8	8	2	10	9	1	8	2	10	9	2	9	2	5	1	4	6	6		5.64
vardas2243		pavarde2243		5	10	5	9	9	9	8	10	10	4	1	9	4	9	7	9	6	7	1	3	10		8.7
vardas2244		pavarde2244		4	9	4	8	5	8	2	5	1	6	10	1	9	10	10	2	2	7	2	8	4		4.66
vardas2245		pavarde2245		6	5	7	6	3	8	8	10	5	7	10	6	10	9	6	10	5	7	5	8	8		7.62
vardas2246		pavarde2246		1	5	4	4	7	9	5	7	9	10	9	10	1	1	4	7	2	3	7	6	7		6.42
vardas2247		pavarde2247		3	5	2	2	10	2	3	3	2	6	9	10	2	5	8	1	1	8	5	7	10		7.88
vardas2248		pavarde2248		10	7	7	4	6	6	9	6	3	3	8	6	4	9	1	4	8	8	9	8	2		3.72
vardas2249		pavarde2249		8	3	6	9	10	5	2	2	4	8	10	9	7	8	9	2	10	9	5	7	10		8.66
vardas2250		pavarde2250		2	3	4	9	2	2	7	10	6	3	1	5	2	9	3	8	3	9	5	7	10		8
vardas2251		pavarde2251		2	5	7	3	1	4	1	6	7	10	6	10	1	3	2	7	5	4	9	7	9		7.4
vardas2252		pavarde2252		7	10	10	1	7	10	2	3	4	7	3	9	1	4	8	6	10	6	2	3	8		7.06
vardas2253		pavarde2253		6	5	7	5	5	8	10	2	6	1	6	6	9	1	10	5	10	3	3	8	3		4.12
vardas2254		pavarde2254		2	1	3	2	2	3	8	7	1	8	2	5	1	7	10	7	6	7	5	7	4		4.28
vardas2255		pavarde2255		4	2	3	4	9	9	4	7	5	7	3	9	6	10	5	2	4	6	6	5	9		7.6
vardas2256		pavarde2256		4	9	6	2	3	3	2	10	1	7	6	1	6	5	7	5	7	9	7	7	1		2.74
vardas2257		pavarde2257		3	2	3	10	7	7	4	2	8	8	2	10	8	3	10	6	7	2	4	4	8		7
vardas2258		pavarde2258		3	10	8	10	1	7	10	3	8	2	10	7	4	3	1	5	9	5	8	6	2		3.6
vardas2259		pavarde2259		1	1	6	4	4	6	9	1	6	6	4	1	9	2	1	3	2	5	4	6	7		5.82
vardas2260		pavarde2260		2	7	7	4	7	5	9	10	2	5	10	7	1	8	9	4	6	1	9	9	4		4.84
vardas2261		pavarde2261		2	7	1	3	6	10	6	4	7	5	3	7	4	3	6	10	8	8	8	6	6		5.88
vardas2262		pavarde2262		1	10	4	9	1	3	7	6	3	8	10	7	3	6	7	6	3	6	3	10	7		6.46
vardas2263		pavarde2263		6	6	9	3	7	9	1	7	2	2	1	2	1	8	8	9	6	8	3	3	6		5.62
vardas2264		pavarde2264		1	10	7	5	7	7	3	10	10	3	1	1	3	10	5	2	5	2	3	9	1		2.68
vardas2265		pavarde2265		7	2	6	6	9	5	1	2	7	7	6	5	2	10	8	10	9	5	8	10	2		3.7
vardas2266		pavarde2266		8	9	5	5	7	2	3	8	3	6	9	3	8	5	3	4	1	1	10	1	1		2.62
vardas2267		pavarde2267		3	4	1	10	6	9	1	7	7	7	4	8	2	2	10	10	1	9	9	2	9		7.64
vardas2268		pavarde2268		5	6	5	1	7	3	1	10	9	7	7	3	10	10	2	8	1	4	8	8	3		4.1
vardas2269		pavarde2269		4	9	9	6	10	10	7	1	10	4	7	9	9	9	8	9	5	9	6	6	9		8.34
vardas2270		pavarde2270		6	9	7	5	3	2	9	5	10	4	3	1	7	9	9	7	4	8	4	2	5		5.28
vardas2271		pavarde2271		4	3	7	7	10	7	8	2	6	9	10	5	4	1	7	7	8	6	5	9	8		7.3
vardas2272		pavarde2272		10	6	3	5	2	5	6	3	8	3	3	10	3	10	10	6	2	2	2	6	4		4.5
vardas2273		pavarde2273		8	7	10	5	3	5	10	8	9	5	8	9	6	3	2	10	1	2	5	6	6		6.04
vardas2274		pavarde2274		6	10	10	1	9	9	1	4	8	7	10	7	4	7	1	2	5	9	6	3	8		7.18
vardas2275		pavarde2275		3	1	4	10	4	3	10	8	10	4	3	5	3	10	5	8	10	3	10	1	5		5.3
vardas2276		pavarde2276		9	8	3	6	5	10	7	1	5	8	9	9	9	1	8	1	9	1	6	5	4		4.8
vardas2277		pavarde2277		4	1	10	4	5	3	8	10	10	9	10	4	5	10	7	4	7	1	7	3	9		7.84
vardas2278		pavarde2278		8	4	4	3	10	5	8	9	3	8	6	5	10	1	4	1	3	8	6	4	10		8.2
vardas2279		pavarde2279		10	10	5	7	9	3	6	1	10	8	3	1	2	2	9	3	5	5	2	3	7		6.28
vardas2280		pavarde2280		7	8	7	5	10	8	9	7	7	6	6	4	6	10	6	8	8	3	5	6	8		7.52
vardas2281		pavarde2281		10	3	3	3	5	6	2	10	10	9	9	9	6	5	7	9	7	6	5	9	10		8.66
vardas2282		pavarde2282		7	8	8	6	2	6	4	8	4	9	10	2	7	1	1	6	5	5	1	3	8		6.86
vardas2283		pavarde2283		10	1	5	8	7	6	9	5	10	9	2	2	9	1	8	3	4	10	1	8	1		2.96
vardas2284		pavarde2284		8	3	4	10	3	3	1	10	9	7	8	8	1	10	9	1	7	10	3	7	3		4.24
vardas2285		pavarde2285		8	2	3	9	6	10	4	1	4	1	3	7	4	5	3	2	8	8	6	9	3		3.86
vardas2286		pavarde2286		6	6	9	2	10	4	2	2	1	6	1	5	8	4	4	4	9	6	2	9	7		6.2
vardas2287		pavarde2287		2	5	8	3	7	3	7	7	3	2	3	5	10	7	7	3	6	8	5	4	1		2.7
vardas2288		pavarde2288		10	10	2	1	1	6	10	2	9	2	9	5	8	8	7	7	7	5	3	5	1		2.94
vardas2289		pavarde2289		5	1	7	2	5	2	10	10	8	2	3	6	7	10	9	10	2	5	2	6	8		7.04
vardas2290		pavarde2290		8	2	2	1	7	3	5	6	6	4	2	5	1	10	3	4	3	4	10	3	5		4.78
vardas2291		pavarde2291		2	3	6	9	3	3	9	1	9	2	4	5	9	6	9	7	10	2	6	8	10		8.26
vardas2292		pavarde2292		3	6	10	3	10	10	1	10	7	1	9	2	7	9	10	1	5	7	1	7	1		2.98
vardas2293		pavarde2293		5	10	4	6	9	1	9	8	9	6	2	4	1	4	10	2	9	7	2	6	2		3.48
vardas2294		pavarde2294		2	1	10	7	1	4	3	1	6	8	9	7	3	6	5	1	9	3	10	2	6		5.56
vardas2295		pavarde2295		8	7	5	9	7	9	1	7	6	10	3	10	8	4	6	1	5	2	2	7	8		7.14
vardas2296		pavarde2296		8	4	3	3	2	4	8	8	10	6	6	1	9	6	8	10	4	1	9	6	3		4.12
vardas2297		pavarde2297		4	3	9	5	3	2	4	1	4	2	8	4	1	1	9	2	8	10	5	10	10		7.9
vardas2298		pavarde2298		5	3	5	2	1	8	3	1	2	8	8	5	7	7	9	6	8	8	6	6	6		5.76
vardas2299		pavarde2299		8	9	5	8	2	6	2	8	8	8	5	3	3	6	9	5	3	3	8	7	5		5.32
vardas2300		pavarde2300		9	7	3	6	7	4	5	2	1	3	5	1	8	10	1	8	5	5	10	8	1		2.76
vardas2301		pavarde2301		4	7	7	8	7	6	5	3	4	9	7	1	6	9	2	5	7	9	8	3	9		7.74
vardas2302		pavarde2302		5	2	8	5	8	8	8	4	9	1	10	6	10	7	8	9	8	1	8	6	3		4.42
vardas2303		pavarde2303		8	10	5	10	5	5	2	3	8	8	8	10	5	1	2	3	7	5	7	10	2		3.64
vardas2304		pavarde2304		1	7	1	7	4	4	3	7	5	8	9	1	5	7	9	3	7	2	6	2	1		2.56
vardas2305		pavarde2305		2	9	10	6	9	2	4	5	8	1	1	10	2	1	5	4	3	1	1	7	6		5.42
vardas2306		pavarde2306		6	3	10	4	4	7	9	6	5	1	3	8	1	9	7	10	1	4	6	9	10		8.26
vardas2307		pavarde2307		10	6	4	10	4	5	6	2	3	8	5	8	5	2	1	4	1	9	4	10	2		3.34
vardas2308		pavarde2308		8	2	4	9	7	6	10	3	2	3	9	2	3	4	3	7	3	9	5	2	7		6.22
vardas2309		pavarde2309		3	4	4	3	6	3	4	9	3	4	4	7	5	9	8	2	2	4	5	5	8		6.68
vardas2310		pavarde2310		10	2	9	5	6	6	6	10	3	4	9	1	6	5	5	4	9	4	1	3	5		5.16
vardas2311		pavarde2311		2	9	9	5	1	6	10	10	7	4	5	7	9	9	2	2	6	5	7	2	10		8.34
vardas2312		pavarde2312		3	7	2	8	10	9	7	1	3	2	4	10	4	8	7	4	3	6	8	5	4		4.62
vardas2313		pavarde2313		1	7	5	6	3	3	6	9	5	10	7	2	5	4	9	5	8	4	3	10	6		5.84
vardas2314		pavarde2314		7	4	10	9	3	7	8	5	8	8	10	7	4	6	4	1	3	8	5	6	5		5.46
vardas2315		pavarde2315		6	6	7	9	10	6	4	6	6	9	3	7	10	10	9	9	5	4	1	9	4		5.12
vardas2316		pavarde2316		9	6	8	2	4	1	5	9	6	10	7	3	8	6	10	8	6	7	9	2	6		6.12
vardas2317		pavarde2317		8	6	4	5	8	6	9	4	4	2	2	2	2	10	6	8	10	4	4	8	7		6.44
vardas2318		pavarde2318		1	3	5	1	8	10	7	8	9	4	10	7	2	3	9	8	3	3	7	5	4		4.66
vardas2319		pavarde2319		7	6	8	10	8	8	4	6	4	7	10	1	1	2	10	7	7	9	10	2	8		7.34
vardas2320		pavarde2320		5	4	4	4	7	3	1	7	3	10	3	5	3	2	10	3	9	3	4	5	9		7.3
vardas2321		pavarde2321		6	6	8	9	10	10	2	9	7	8	7	9	3	2	10	1	4	8	9	3	8		7.42
vardas2322		pavarde2322		3	4	1	7	9	3	8	6	8	1	10	9	2	3	2	9	6	2	8	5	2		3.32
vardas2323		pavarde2323		6	3	6	5	3	2	1	2	1	3	2	5	3	8	7	4	9	7	8	9	1		2.48
vardas2324		pavarde2324		10	7	9	1	8	6	6	10	8	2	7	9	2	9	6	2	5	6	9	9	4		5.02
vardas2325		pavarde2325		3	1	7	2	8	1	9	2	8	10	3	2	10	10	4	4	8	2	10	9	6		5.86
vardas2326		pavarde2326		8	4	3	8	4	8	4	3	9	9	9	9	10	1	4	2	7	8	9	5	9		7.88
vardas2327		pavarde2327		5	8	2	2	5	3	8	9	4	10	2	2	8	6	1	8	9	5	1	3	5		5.02
vardas2328		pavarde2328		1	9	3	3	2	4	8	1	4	9	1	6	3	7	9	6	1	7	3	10	3		3.74
vardas2329		pavarde2329		8	9	9	4	6	1	2	9	10	7	2	7	4	7	3	8	2	5	8	3	2		3.48
vardas2330		pavarde2330		5	7	5	8	2	2	9	8	9	8	4	8	10	2	10	7	9	6	9	8	8		7.52
vardas2331		pavarde2331		9	9	8	6	4	9	4	7	9	3	4	4	10	2	4	4	10	1	2	1	6		5.8
vardas2332		pavarde2332		6	7	4	6	5	1	5	7	3	10	4	3	9	3	5	8	10	3	5	6	3		4
vardas2333		pavarde2333		5	6	1	10	10	5	5	1	7	4	5	5	1	1	7	7	4	6	9	2	5		5.02
vardas2334		pavarde2334		5	7	1	7	6	3	3	8	8	2	4	6	5	5	7	7	7	8	9	10	10		8.36
vardas2335		pavarde2335		9	3	3	1	7	9	1	6	5	8	7	5	8	8	1	7	5	2	3	7	2		3.3
vardas2336		pavarde2336		1	4	2	7	6	3	7	1	1	2	9	7	8	6	6	6	8	4	9	6	6		5.66
vardas2337		pavarde2337		6	2	3	4	3	6	4	4	9	9	4	2	8	1	7	1	4	1	9	5	6		5.44
vardas2338		pavarde2338		8	5	7	2	7	3	1	10	2	10	1	10	9	7	8	1	2	2	4	7	10		8.12
vardas2339		pavarde2339		6	3	7	3	9	7	10	5	5	2	5	7	9	5	4	10	3	4	1	3	10		8.16
vardas2340		pavarde2340		6	7	2	1	10	2	8	2	1	10	4	3	6	10	1	6	5	10	10	9	10		8.26
vardas2341		pavarde2341		5	9	5	2	6	2	10	1	6	2	10	1	9	9	9	5	10	1	6	1	1		2.78
vardas2342		pavarde2342		9	3	5	6	8	1	7	7	3	4	1	9	1	4	2	4	5	6	1	1	6		5.34
vardas2343		pavarde2343		4	9	8	10	10	8	1	1	8	9	1	2	7	4	1	5	6	10	6	5	5		5.3
vardas2344		pavarde2344		8	1	10	7	5	7	8	1	7	3	1	7	3	7	6	5	2	4	6	9	1		2.74
vardas2345		pavarde2345		4	3	2	4	4	8	9	7	7	3	7	4	7	2	1	6	9	8	3	2	3		3.8
vardas2346		pavarde2346		8	1	3	10	5	3	9	3	10	10	4	1	3	9	2	3	8	10	4	4	2		3.4
vardas2347		pavarde2347		6	2	3	8	6	5	9	8	3	2	9	4	2	1	10	1	1	9	1	4	2		3.08
vardas2348		pavarde2348		3	4	6	2	5	9	8	5	1	7	2	6	8	10	2	9	6	10	5	1	3		3.98
vardas2349		pavarde2349		9	6	3	10	3	6	6	5	3	3	4	10	6	4	9	1	3	5	7	7	6		5.8
vardas2350		pavarde2350		8	2	7	10	9	5	9	3	3	3	6	2	6	5	10	3	6	1	10	4	6		5.84
vardas2351		pavarde2351		10	1	2	10	9	6	10	3	2	3	7	7	8	5	6	4	7	8	9	1	6		5.96
vardas2352		pavarde2352		2	10	10	5	6	2	5	2	7	7	2	6	5	8	4	6	7	10	9	10	1		3.06
vardas2353		pavarde2353		5	9	9	9	5	5	8	9	5	8	10	10	9	10	7	10	7	6	2	6	10		8.98
vardas2354		pavarde2354		10	6	4	8	2	10	9	1	4	5	2	10	2	3	8	4	10	1	9	2	8		7
vardas2355		pavarde2355		6	6	2	3	10	9	4	9	10	5	4	7	5	7	4	7	6	1	2	5	5		5.24
vardas2356		pavarde2356		10	8	6	5	4	2	7	4	4	9	6	4	6	10	6	4	10	1	8	2	1		2.92
vardas2357		pavarde2357		4	5	10	6	6	10	2	7	6	2	1	10	5	1	4	5	4	6	8	2	8		6.88
vardas2358		pavarde2358		1	5	9	10	8	1	10	2	2	2	2	5	9	7	9	10	7	5	4	2	9		7.6
vardas2359		pavarde2359		7	3	10	3	7	3	4	4	4	8	6	8	3	3	8	1	5	7	4	9	8		6.94
vardas2360		pavarde2360		1	2	4	1	7	2	2	4	3	8	10	6	8	6	4	7	7	5	8	10	1		2.7
vardas2361		pavarde2361		10	5	2	3	5	3	10	4	4	9	10	3	4	10	10	8	5	3	10	2	2		3.6
vardas2362		pavarde2362		8	1	7	8	8	7	6	9	5	3	3	9	2	9	9	3	6	7	2	5	9		7.74
vardas2363		pavarde2363		10	1	3	1	6	10	2	3	10	4	1	9	3	3	9	1	9	2	2	6	1		2.5
vardas2364		pavarde2364		8	6	9	4	7	8	9	9	4	5	4	6	6	9	6	3	7	6	3	2	5		5.42
vardas2365		pavarde2365		2	9	4	8	5	10	6	7	10	7	1	2	3	6	3	7	10	10	1	4	6		5.9
vardas2366		pavarde2366		9	1	8	4	4	4	9	4	8	5	8	2	9	8	8	6	1	8	1	7	1		2.88
